,FB,XRP,GOOGL,AAPL,BCH,AMZN,BABA,TSLA,LTC,DOT,BTC,ADA,LINK,ETH,JPM,NVDA,BAC,MSFT,TRX,NFLX,BNB,BA,XLM,WFC,ETC,EOS,XTZ,XMR,V,DOGE,GS,C,DIS,MA,AVAX,SOL,MATIC,HD
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999333620071411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9996322393417358,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999333620071411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996322393417358,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.9873435497283936,0.0,-0.9999333620071411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996322393417358,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.9873435497283936,0.0,-0.9999333620071411,0.0,0.0,0.9996246099472046,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996322393417358,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991490840911865,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.9873435497283936,0.0,-0.9999333620071411,0.0,0.0,0.9996246099472046,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991490840911865,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0,0.9873435497283936,0.0,-0.9999333620071411,0.0,0.0,0.9996246099472046,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.49975675344467163,0.0,0.9873435497283936,0.4999985098838806,-0.9999333620071411,0.0,0.0,0.9996246099472046,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.9993078708648682,-0.9495828151702881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.49975675344467163,0.9992559552192688,0.9873435497283936,0.4999985098838806,-0.9999333620071411,0.4996279776096344,0.0,0.9996246099472046,0.0,0.0,0.0,0.0,-0.9999744892120361,0.0,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.9993078708648682,0.0,0.0,0.9992559552192688,0.0,0.0,0.9992559552192688,0.0,0.0,0.9855679273605347,0.0,0.9992559552192688,0.0,0.0,0.0
2023-01-11,0.0,0.0,0.0,0.49975675344467163,0.9992559552192688,0.0,0.4999985098838806,0.0,0.4996279776096344,0.0,-0.9991487264633179,0.0,0.0,0.0,0.9227095246315002,0.0,0.9227095246315002,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.9227095246315002,0.9855679273605347,0.0,0.9992559552192688,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0,0.0,0.9992559552192688,0.0,0.0,0.0,0.4996279776096344,0.0,-0.9991487264633179,0.0,0.0,0.0,0.9227095246315002,0.0,0.9999998807907104,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.0,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.9227095246315002,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.0,0.0,0.9992559552192688,0.0,0.0,0.0,0.0,0.0,-0.9991487264633179,0.0,0.0,0.0,1.0,0.0,0.9999959468841553,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.0,0.99981290102005,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-14,0.0,0.0,0.0,0.0,0.9992559552192688,0.0,0.0,0.0,0.0,0.0,-0.9991487264633179,0.0,0.0,0.0,1.0,0.0,0.9999959468841553,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.9998648166656494,0.99981290102005,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-15,0.0,0.0,0.0,0.0,0.9992559552192688,0.0,0.0,0.0,0.0,0.0,-0.9991487264633179,0.0,0.0,0.0,1.0,0.0,0.9999959468841553,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.9998648166656494,0.99981290102005,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
2023-01-16,0.0,0.0,0.0,0.0,0.9992559552192688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999988079071045,-0.9996746778488159,0.0,-0.9996322393417358,0.0,0.9998648166656494,0.99981290102005,0.9610098898410797,0.0,0.0,0.9992559552192688,0.0,0.0,0.9999912977218628,0.9227095246315002,0.0,0.9855679273605347,0.0,0.0,0.0,0.0,0.0
