Date,Open,High,Low,Close,Volume,Number of Trades,Coin
2025-01-01 00:00:00,93576.00000000,94509.42000000,93489.03000000,94401.14000000,755.99010000,93525,BTC
2025-01-01 01:00:00,94401.13000000,94408.72000000,93578.77000000,93607.74000000,586.53456000,79943,BTC
2025-01-01 02:00:00,93607.74000000,94105.12000000,93594.56000000,94098.91000000,276.78045000,55078,BTC
2025-01-01 03:00:00,94098.90000000,94098.91000000,93728.22000000,93838.04000000,220.99302000,35001,BTC
2025-01-01 04:00:00,93838.04000000,93838.04000000,93500.00000000,93553.91000000,279.46909000,38597,BTC
2025-01-01 05:00:00,93553.91000000,93937.19000000,93547.40000000,93792.02000000,209.17940000,33839,BTC
2025-01-01 06:00:00,93792.02000000,93792.02000000,93568.38000000,93757.58000000,272.27846000,30066,BTC
2025-01-01 07:00:00,93757.57000000,93800.00000000,93664.08000000,93684.10000000,197.93458000,22891,BTC
2025-01-01 08:00:00,93684.11000000,93756.02000000,93304.00000000,93428.46000000,481.71173000,51464,BTC
2025-01-01 09:00:00,93428.47000000,93486.29000000,92888.00000000,93413.06000000,798.49773000,93479,BTC
2025-01-01 10:00:00,93413.07000000,93536.75000000,93284.00000000,93326.23000000,265.55192000,49313,BTC
2025-01-01 11:00:00,93326.24000000,93705.08000000,93200.00000000,93444.64000000,321.72225000,58142,BTC
2025-01-01 12:00:00,93444.65000000,93972.00000000,93407.07000000,93820.76000000,499.35613000,58928,BTC
2025-01-01 13:00:00,93820.75000000,94058.79000000,93600.28000000,94031.76000000,340.36387000,64479,BTC
2025-01-01 14:00:00,94031.77000000,94450.85000000,93671.48000000,94175.89000000,751.90697000,124282,BTC
2025-01-01 15:00:00,94175.89000000,94500.00000000,93900.00000000,94432.94000000,486.08395000,77490,BTC
2025-01-01 16:00:00,94432.94000000,94492.00000000,93922.00000000,94090.49000000,580.27384000,87522,BTC
2025-01-01 17:00:00,94090.50000000,94189.16000000,93760.93000000,94143.85000000,303.86795000,61419,BTC
2025-01-01 18:00:00,94143.84000000,94380.44000000,93936.44000000,94340.06000000,291.78831000,54037,BTC
2025-01-01 19:00:00,94340.06000000,94823.75000000,94148.34000000,94627.07000000,545.12372000,85002,BTC
2025-01-01 20:00:00,94627.08000000,94852.70000000,94579.83000000,94786.23000000,424.42468000,59241,BTC
2025-01-01 21:00:00,94786.23000000,95151.15000000,94687.87000000,94978.48000000,636.81156000,85265,BTC
2025-01-01 22:00:00,94978.48000000,94997.32000000,94685.81000000,94802.98000000,409.77402000,49494,BTC
2025-01-01 23:00:00,94802.99000000,94952.29000000,94542.00000000,94591.79000000,436.90784000,68059,BTC
2025-01-02 00:00:00,94591.78000000,95381.70000000,94392.00000000,95128.59000000,1181.76573000,178842,BTC
2025-01-02 01:00:00,95128.59000000,95516.00000000,94699.69000000,94862.72000000,1143.36617000,123452,BTC
2025-01-02 02:00:00,94862.73000000,95234.37000000,94803.03000000,95234.36000000,455.65000000,71796,BTC
2025-01-02 03:00:00,95234.37000000,95299.24000000,94913.75000000,95010.33000000,290.28586000,47561,BTC
2025-01-02 04:00:00,95010.34000000,96000.00000000,94984.84000000,95708.07000000,925.61919000,110599,BTC
2025-01-02 05:00:00,95708.07000000,95800.00000000,95395.21000000,95596.48000000,702.11721000,79223,BTC
